name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Enterobacter sp. E20	1560339	species	4763114	19	3	0.0
Sphingomonas panacis	1560345	species	5322941	39	28	0.0
Streptomyces sp. CCM_MD2014	1561022	species	8274043	39	20	0.0
Curtobacterium sp. MR_MD2014	1561023	species	3443800	19	13	0.0
Mycobacterium sp. QIA-37	1561223	species	4855372	25	2	0.0
Kangiella profundi	1561924	species	2653010	11	8	0.0
Blastocatellia	1562566	class	0	1	0	0.0
Fermentimonas caenicola	1562970	species	2808926	21	17	0.0
Rhodococcus sp. B7740	1564114	species	5341557	22	14	0.0
Rhodovulum sp. P5	1564506	species	4473545	15	10	0.0
Carnobacterium sp. CP1	1564681	species	2614401	53	38	0.0
Bacillus sp. X1(2014)	1565991	species	3422674	59	39	0.0
Paenibacillus sp. IHBB 10380	1566358	species	5787303	46	32	0.0
Mycobacterium sp. NRRL B-3805	1570328	species	5421338	30	0	0.0
Bacillus sp. BH072	1570330	species	4069641	61	17	0.0
Peptoniphilaceae	1570339	family	0	1	0	0.0
Rhodococcus sp. 2G	1570939	species	5596514	28	8	0.0
Rhizobium sp. ACO-34A	1571470	species	6284736	28	23	0.0
Ruminococcaceae bacterium CPB6	1572656	species	2069994	23	16	0.0
Bacillus sp. YP1	1574141	species	4153566	407	16	0.0
Candidatus Methanoplasma termitum	1577791	species	1488669	5	4	0.0
Mycobacterium saopaulense	1578165	species	4649175	21	14	0.0
Edwardsiella sp. EA181011	1578828	species	3934167	37	21	0.0
Halocynthiibacter arcticus	1579316	species	4376120	19	17	0.0
Wenzhouxiangella marina	1579979	species	3675202	15	11	0.0
Candidatus Nitrosopumilus adriaticus	1580092	species	1803090	13	9	0.0
Phaeobacter piscinae	1580596	species	29607336	43	20	0.0
Sulfurospirillum sp. UCH001	1581011	species	2606563	15	9	0.0
Candidatus Methylopumilus planktonicus	1581557	species	1356428	9	9	0.0
Candidatus Methylopumilus turicensis	1581680	species	1754988	11	7	0.0
