gene,A1,A2,A3,B1,B2,B3
gene1,0.33,0.13,0.3,0.48,0.37,1.73
gene2,0,0,0.3,0.54,0.43,0.35
gene3,10.27,10.05,5.51,30.95,15.85,25.72
gene4,3.74,4.44,4.24,0.24,0.06,1.04
gene5,9.66,10.05,15.57,6.83,2.66,5.89
gene6,0.5,0.64,0.18,0.72,1.24,2.6
gene7,0.11,0,0.06,0.3,0.25,0.29
gene8,43.15,25.82,80.02,21.08,29.85,30.86
gene9,66.93,34.9,109.34,26.82,39.07,44.44
gene10,1.12,1.55,1.21,0.6,0.5,0.35
gene11,0.06,0.13,0,0.24,0.43,0.23
gene12,137.21,142.25,59.85,6.17,6.5,11.15
gene13,0.5,0.71,0.18,6.17,3.22,3.24
gene14,0.11,0.26,0.18,0.6,0.37,0.69
gene15,1.56,0.52,1.64,5.27,1.73,8.55
gene16,0.73,1.22,1.82,3.77,4.09,3.99
gene17,22.66,21.7,31.99,12.45,15.05,16.7
gene18,0.61,0.26,0.48,1.5,0.93,1.56
gene19,3.8,0.52,7.51,0.06,0.87,1.33
gene20,0.45,0.52,1.15,0.12,0.06,0.12
gene21,0.39,0.32,0.18,1.02,0.8,1.21
gene22,5.08,4.77,2.24,24.07,9.97,23.52
gene23,65.2,51.06,163.08,31.31,45.51,38.95
gene24,0.11,0.06,0,0.36,0.31,0.23
gene25,23.22,35.42,27.81,47.18,47.74,57.39
gene26,1.34,1.03,0.24,0.12,0.19,0.4
gene27,0.89,1.09,0.85,0.3,0.19,0.4
gene28,1.28,0.58,0.24,1.98,1.8,3.64
gene29,7.7,12.81,0.42,2.45,2.23,1.21
gene30,0.06,0.06,0.06,0.9,0.37,0.46
gene31,3.63,3.28,1.94,12.45,3.96,11.27
gene32,7.31,6.89,4.79,29.34,14.24,30.63
gene33,17.97,14.75,3.88,5.87,4.21,6.18
gene34,5.97,4.7,0.42,0,0.19,0.52
gene35,4.19,0,2.18,0.3,0.31,0.46
gene36,3.18,1.93,2.73,1.14,0.56,1.27
gene37,7.59,11.14,8.48,6.71,2.41,3.35
gene38,0.61,0.06,1.27,19.94,5.26,19.59
gene39,18.14,11.08,16.72,30.12,25.57,35.02
gene40,1.28,0.58,0.91,0.48,0.19,0.35
gene41,3.8,1.87,3.51,8.74,2.48,14.62
gene42,0.39,0.9,0.24,4.13,1.61,3.76
gene43,5.36,3.86,2.36,14.25,9.66,8.44
gene44,49.4,63.36,47.8,28.14,23.65,26.82
gene45,2.18,1.61,0.55,4.61,2.11,9.19
gene46,6.59,5.34,2.36,18.8,12.76,17.05
gene47,0.73,0.97,0.61,4.67,4.46,4.8
gene48,17.7,24.79,2.3,53.11,26.56,33.23
gene49,3.35,9.79,0.97,11.38,12.26,13.93
gene50,10.44,9.47,2,31.37,7.68,19.88
gene51,44.6,30.84,59,25.39,26.44,18.9
gene52,0.84,0.39,0.24,1.98,0.99,2.31
gene53,1.45,0.52,0.42,4.61,0.5,9.25
gene54,7.93,11.4,5.82,21.37,17.34,15.89
gene55,8.43,11.46,5.45,21.08,18.7,16.88
gene56,0.17,0.39,0,0.78,0.74,0.29
gene57,2.23,1.35,1.21,5.69,1.98,6.88
gene58,14.23,8.56,17.39,33.71,39.32,23.41
gene59,3.35,2.06,1.76,16.23,2.11,10.52
gene60,4.41,1.55,0.85,9.52,2.41,7.4
gene61,2.12,1.09,3.03,16.47,5.82,13
gene62,2.46,2.25,0.42,0.06,0.12,0.4
gene63,12,12.81,9.33,35.09,24.15,38.2
gene64,0.17,0.32,0,0.6,0.62,0.75
gene65,0.5,1.8,0.48,0.24,0.25,0.46
gene66,3.63,1.87,4.6,1.14,0.37,1.96
gene67,2.46,1.93,0.3,4.55,3.22,8.38
gene68,0.61,0.19,0.24,2.34,1.8,1.44
gene69,13.01,11.98,9.33,37.18,21.8,38.03
gene70,6.59,7.66,2.79,16.88,14.37,17.63
gene71,0.73,0.97,0.67,0.18,0.31,0.23
gene72,0.78,0.32,0.79,3.35,0.68,6.18
gene73,20.26,19.77,3.09,5.15,6.32,6.18
gene74,1,1.16,0.55,0,0,0.06
gene75,1.34,0.9,0.85,5.33,3.96,4.57
gene76,0.06,0.13,0.12,0.42,0.25,0.75
gene77,0.28,0.26,0.06,0.84,1.11,1.21
gene78,1,1.29,1.09,2.99,1.67,4.39
gene79,0.84,0.26,0.12,1.26,0.5,2.66
gene80,0.56,1.42,0.67,0.3,0.25,0.46
gene81,0.45,0.39,0.06,1.74,1.55,1.73
gene82,0.17,0.26,0.79,0.3,2.17,3.58
gene83,5.69,4.51,3.15,13.59,4.52,21.79
gene84,0.17,0.32,0.36,0.9,0.87,0.87
gene85,0.5,0.71,0.18,1.02,1.42,1.68
gene86,12,12.36,9.69,36.7,21.49,40.34
gene87,0,0,0.12,0.48,0.74,0.35
gene88,1.56,1.29,0.61,0.24,0.56,0.46
gene89,3.85,3.09,1.45,8.02,3.84,11.91
gene90,5.47,4.96,5.39,19.16,15.91,9.71
gene91,0.73,0.39,0.12,2.51,0.74,4.33
gene92,1.06,0.77,0.36,2.39,2.11,2.2
gene93,0.73,1.67,0.67,4.13,1.05,3.76
gene94,0.11,0.26,0.55,0.54,1.11,2.49
gene95,9.1,9.4,8.84,5.99,2.35,4.51
gene96,280.84,257.06,130.91,628.86,452.22,432.7
gene97,0.22,0,0.24,0.48,0.5,0.52
gene98,0.11,0.06,0.3,0.6,0.56,1.85
gene99,0.5,0.39,0.3,1.44,0.87,1.04
gene100,27.58,27.75,41.86,16.11,18.02,14.97
gene101,0.17,0,0.06,1.02,0.37,1.16
gene102,5.47,7.21,0.67,1.38,1.05,1.79
gene103,4.69,2.25,1.21,15.57,6.32,12.43
gene104,1.73,2.06,0.36,4.31,3.47,3.76
gene105,24.95,17.13,22.96,88.25,60.44,76.46
gene106,2.57,2.19,2.18,0.9,1.3,0.92
gene107,0.22,0.58,0.18,0.84,1.92,3.18
gene108,2.68,1.03,1.09,4.43,2.72,5.89
gene109,12.89,12.69,10,33.59,20.37,39.3
gene110,0.33,0.06,0.12,0.36,0.56,0.87
gene111,3.57,5.67,5.15,1.74,2.11,2.2
gene112,0.45,0.39,0.24,1.44,0.56,1.5
gene113,0.39,0.39,0,1.14,0.56,0.98
gene114,1,0.97,0.97,5.57,4.15,5.61
gene115,13.96,12.81,5.03,21.79,18.58,23.93
gene116,0.56,0,1.09,0.9,1.11,8.21
gene117,13.23,10.56,9.03,34.43,22.29,38.61
gene118,1.95,1.74,0.79,0.9,0.25,0.35
gene119,36.56,41.53,12.9,15.09,14.74,17.16
gene120,0.67,0.52,0.91,2.16,1.24,2.72
gene121,10.1,9.59,5.82,31.55,17.03,26.53
gene122,11.11,9.34,5.27,30.72,17.03,28.26
gene123,10.61,9.14,6.85,28.92,15.91,27.39
gene124,1.73,1.09,0.3,0.6,0.31,0.12
gene125,3.01,1.67,0.79,0,0,0.06
gene126,5.25,4.31,3.57,1.08,2.54,1.68
gene127,18.48,8.89,15.63,1.68,1.73,1.79
gene128,1.06,0.64,0.18,5.45,2.48,5.43
gene129,1.17,1.35,0.97,0.3,0.5,0.69
gene130,4.63,2.12,1.58,40.12,25.02,44.1
gene131,2.68,4.51,0.18,11.91,0.99,14.22
gene132,3.91,7.53,7.88,3.29,1.55,3.24
gene133,0.67,0.39,0.48,1.56,1.11,3.18
gene134,12,0.77,17.63,0.36,3.84,4.22
gene135,0.95,0.52,1.45,0.3,0.19,0
gene136,0.67,0.45,1.45,0.3,0.19,0.52
gene137,0.11,0.19,0.12,0.42,0.25,0.81
gene138,1.45,1.8,1.21,2.69,4.33,4.28
gene139,66.09,36,120.49,41.19,41.92,31.15
gene140,11.95,13.91,8.72,29.88,26.56,30.92
gene141,0.22,0.26,0.24,0,0,0
gene142,7.2,6.89,4.3,22.03,11.15,17.86
gene143,4.47,2.12,1.51,1.02,0.06,0.29
gene144,143.02,132.78,240.98,109.45,105.52,98.77
gene145,1.17,1.09,1.03,0.36,0.56,0.29
gene146,0.89,0.39,0.61,0.18,0,0.23
gene147,0.56,0.32,0.12,1.98,0.68,0.98
gene148,1.45,1.48,1.15,0.6,0.25,0.64
gene149,0.11,0.71,0.12,6.11,0.31,3.41
gene150,8.15,7.47,5.57,18.62,11.21,21.44
gene151,34.33,6.05,10.54,7.84,4.95,8.61
gene152,3.74,5.8,4.42,1.32,2.66,2.31
gene153,4.8,4.57,4,1.38,2.35,1.04
gene154,2.85,2.58,1.45,0.24,0.12,0.35
gene155,1.17,1.16,0.36,2.04,1.86,3.01
gene156,6.36,7.86,1.27,8.44,12.63,21.96
gene157,6.08,6.18,2.48,14.37,5.7,17.16
gene158,0.61,0.39,0.42,0,0.12,0.06
gene159,1.84,0.71,2.12,0.12,0.19,0.69
gene160,0.89,1.29,0.73,3.11,1.61,3.35
gene161,1.51,1.55,0.73,0.18,0.31,0.35
gene162,58.72,15.2,118.01,38.08,23.84,29.76
gene163,0.84,0.9,0.24,3.23,0.87,4.91
gene164,3.52,3.93,4.79,1.8,2.41,1.27
gene165,0.95,2.96,0.3,0,0,0.06
gene166,0.78,0.32,1.58,0.06,0.25,0.29
gene167,41.81,29.43,45.68,68.2,65.45,73.51
gene168,2.12,1.67,0.97,0.18,0.12,0.52
gene169,7.37,5.67,3.82,2.34,2.79,2.49
gene170,2.23,4.31,0.48,0.12,1.3,0.12
gene171,0,0,0.18,0.72,0.56,0.52
gene172,3.52,0.77,1.21,7.9,1.18,9.48
gene173,0.5,0.97,0.36,2.22,0.37,3.7
gene174,0.67,0.45,0,2.99,0.56,0.87
gene175,8.71,12.43,5.75,26.11,11.95,30.8
gene176,0.5,0.45,0.18,2.34,2.04,1.16
gene177,4.02,5.67,2.54,13.95,5.88,12.25
gene178,0.5,0.06,0.3,1.62,0.31,1.85
gene179,1.23,0.26,0.36,3.11,0.62,2.14
gene180,3.96,3.99,1.82,14.61,4.02,20.75
gene181,0.06,0.19,0.48,0.24,0.25,4.05
gene182,0.28,0.26,0.18,0.84,0.37,0.98
gene183,1,0.45,0.97,0.18,0.37,0.23
gene184,14.46,8.63,23.02,7.72,7.43,8.26
gene185,0.33,0.39,0.42,1.92,1.11,1.33
gene186,0.11,0.26,0.24,0.48,0.62,0.87
gene187,22.05,21.38,8.6,44.91,42.23,50.86
gene188,12.73,12.36,12.66,66.52,15.67,49.76
gene189,3.18,3.67,1.51,0.72,0.19,0.23
gene190,1.23,0.84,0.67,0.18,0.25,0.52
gene191,0.5,0.71,0.48,0.3,0.19,0.06
gene192,0.5,0.32,0.55,2.81,1.18,1.16
gene193,0.22,0.13,0.12,0.42,1.05,0.46
gene194,0.84,0.71,1.58,0.3,0.19,0.29
gene195,0.17,0.13,0.18,0.42,0.43,0.64
gene196,0.56,0.64,0.42,0.12,0.25,0.23
gene197,0.73,0.45,0.42,3.29,1.18,1.27
gene198,1.45,2.45,1.33,10.36,5.63,9.42
gene199,0.22,0.52,0.3,0,0,0.06
gene200,0.28,0.19,0,1.44,0.37,1.27
gene201,10.44,9.21,6.48,32.69,14.99,26.07
gene202,11.16,10.3,5.63,30.12,17.65,28.15
gene203,12.23,9.4,5.57,31.37,16.66,26.12
gene204,6.42,2.9,3.63,16.64,3.47,15.95
gene205,1.23,2.19,0.48,7.96,10.09,3.7
gene206,0.45,0.32,0.12,2.51,1.36,1.44
gene207,1.17,1.35,0.24,2.16,1.8,4.74
gene208,0.33,0.26,0.3,2.75,1.36,3.01
gene209,12.84,10.05,3.03,42.81,16.78,31.21
gene210,2.4,0.52,1.27,5.51,1.98,8.15
gene211,0.73,0.19,0.36,1.92,0.43,3.29
gene212,15.02,12.62,10.18,33.41,26.44,31.9
gene213,0.06,0.26,0.06,0.78,0.43,0.46
gene214,3.8,1.93,2,19.64,10.96,12.25
gene215,17.64,9.92,12.12,46.1,13.87,38.66
gene216,2.07,1.93,0.73,4.31,1.98,6.24
gene217,61.13,59.82,59.67,33.65,43.66,29.65
gene218,41.59,22.22,36.47,6.17,2.04,6.94
gene219,0.39,0.32,0.24,1.08,0.8,1.56
gene220,0.22,0.19,0.36,1.02,0.87,1.79
gene221,11.95,13.46,4.24,26.52,18.58,21.96
gene222,4.19,6.31,4.66,0.9,2.54,2.08
gene223,0.5,0.52,0.24,2.16,1.05,4.33
gene224,2.12,1.93,0.48,5.63,3.9,9.59
gene225,1.79,1.93,0.42,7.54,2.85,9.94
gene226,6.64,3.73,4.36,14.61,6.69,22.02
gene227,1.4,2.7,2,1.68,6.5,8.84
gene228,14.46,9.92,10.48,46.7,24.77,28.78
gene229,7.7,10.62,7.75,6.17,2.35,3.76
gene230,0.45,0.26,0.06,1.44,0.68,2.49
gene231,0.61,0.45,0.24,1.68,0.68,1.39
gene232,9.49,7.15,0.91,25.15,8.55,34.1
gene233,6.36,5.99,1.45,23.23,7.8,28.78
gene234,40.47,21.57,52.82,13.95,15.17,17.97
gene235,2.29,1.87,2.48,0.6,0.68,1.39
gene236,0.33,0.32,0.36,0.12,0,0
gene237,0.11,0.19,0,0.9,4.89,8.55
gene238,0.28,0.26,0.67,0.12,0.12,0
gene239,16.52,16.36,10.36,31.13,20.74,30.69
gene240,1.84,2.7,0.3,0.3,0.56,0.17
gene241,3.91,1.67,0.73,5.39,3.34,8.03
gene242,6.92,6.25,1.94,30.6,8.98,36.87
gene243,16.86,10.17,28.23,6.23,10.4,8.61
gene244,2.01,2.77,0.97,7.96,4.27,5.32
gene245,0.84,0.39,0.55,0.12,0.12,0.4
gene246,12.62,12.3,9.39,34.67,24.77,37.91
gene247,36.12,14.3,63.97,17.06,15.42,21.38
gene248,4.08,3.35,1.03,0.36,0.43,0.64
gene249,0.67,0.19,0.42,1.26,1.36,1.27
gene250,0.06,0.13,0.12,0.42,0.31,0.35
gene251,0.28,0.45,0.3,1.02,0.5,1.68
gene252,2.9,4.96,3.21,0.12,0.12,1.1
gene253,0.22,0.52,0.06,1.32,0.8,1.16
gene254,1.84,1.29,0.12,2.69,1.73,6.76
gene255,15.85,13.72,4.79,42.27,11.39,36.99
gene256,2.51,0.84,4.36,0.3,0.37,1.27
gene257,1.79,0.71,2.54,4.25,1.49,10.63
gene258,1.45,1.29,1.15,0.6,0.43,0.58
gene259,0.39,0.06,0.18,1.02,0.37,0.87
gene260,7.76,3.99,3.27,16.47,13.07,5.43
gene261,20.93,15.2,37.86,8.92,9.6,10.75
gene262,9.55,9.53,2.6,31.61,24.09,11.5
gene263,7.59,5.73,10.54,2.93,2.35,4.85
gene264,2.79,1.22,1.03,11.74,1.49,13.81
gene265,0.28,0.39,0.06,1.62,1.18,1.39
gene266,8.65,10.37,5.51,15.75,14.12,19.53
gene267,0.11,0.19,0.18,0.72,0.31,0.52
gene268,3.52,5.54,3.51,1.38,1.61,2.49
gene269,6.81,6.44,3.57,20.12,8.73,13.47
gene270,4.91,1.55,7.03,1.26,1.36,1.33
gene271,1,0.71,0.42,2.63,3.41,2.25
gene272,2.12,1.42,1.09,4.37,1.98,5.32
gene273,13.84,12.62,12.3,6.05,7.37,4.85
gene274,1.45,1.29,0.91,2.93,2.97,3.99
gene275,9.04,5.73,6.54,34.49,7.24,16.99
gene276,1.28,0.45,0.73,2.69,2.85,4.51
gene277,0.22,0,0.12,0.48,0.25,0.69
gene278,2.46,1.16,0.42,4.85,3.22,4.22
gene279,0.11,0,0.12,0.24,0.93,0.29
gene280,0.78,0.19,0.91,0.3,7.18,1.27
gene281,8.6,4.7,5.33,17.72,8.11,14.91
gene282,5.69,2.83,3.33,17.3,7.06,19.59
gene283,0.17,0.13,0,0.48,0.25,1.33
gene284,1.62,0.84,3.7,4.25,6.94,6.59
gene285,0.17,0.06,0.12,0.96,0.5,1.16
gene286,0.73,0.71,0.18,1.32,0.74,2.37
gene287,1.17,2.7,1.82,1.08,0.37,0.64
gene288,6.25,7.79,3.33,12.51,12.07,15.2
gene289,9.82,8.63,10.36,71.61,38.14,57.62
gene290,1.45,0.71,0.36,5.93,1.73,1.16
gene291,28.13,19.06,15.63,50.35,22.6,44.15
gene292,0.84,0.45,0.18,4.37,1.3,6.01
gene293,5.36,3.48,6.18,34.43,16.6,24.79
gene294,1.51,0.97,0.97,6.53,1.11,5.26
gene295,0.17,0.06,0,0.72,0.25,0.46
gene296,1.06,2.25,0.24,3.29,5.08,1.96
gene297,3.24,3.86,1.64,0.06,0.8,0.06
gene298,31.2,38.12,21.93,58.56,52.88,47.22
gene299,0.84,0.39,0.61,2.69,2.29,3.18
gene300,17.97,10.75,21.44,6.17,12.45,7.28
gene301,6.53,0.58,16.36,0.36,2.85,1.5
gene302,2.18,1.48,4.42,0.96,1.67,0.75
gene303,27.91,36.96,14.42,60.23,44.89,56.52
gene304,68.44,37.16,110.43,28.98,43.28,47.16
gene305,21.66,2.06,30.65,0.9,7.06,6.53
gene306,29.31,18.55,51.61,16.23,16.22,23.23
gene307,2.23,0.45,2.54,4.79,0.93,14.74
gene308,25.57,22.8,26.96,17.24,11.89,10.69
gene309,13.45,12.49,15.45,33.89,22.97,31.61
gene310,2.12,2.45,1.64,6.05,4.77,8.09
gene311,11.16,8.24,2.36,16.7,15.79,19.25
gene312,3.13,1.16,1.7,8.68,1.8,5.95
gene313,8.48,7.53,6.6,2.87,2.79,4.68
gene314,1.4,0.52,0.91,0.18,0.19,0.06
gene315,2.74,0.84,0.18,8.38,2.17,3.47
gene316,0.06,0,0.18,0.3,0.43,0.23
gene317,1.73,3.22,0.67,0.66,0.8,0.23
gene318,4.97,4.31,3.63,7.66,10.03,10.29
gene319,1.4,0.58,0.55,0.54,0.12,0.17
gene320,5.81,6.31,2.73,9.82,14.8,17.63
gene321,4.41,2.77,1.94,15.69,13.75,15.66
gene322,2.9,0.39,2.79,11.5,1.92,12.02
gene323,0.73,0.19,1.21,2.28,3.16,2.25
gene324,30.48,45.46,22.23,15.63,21.67,20.63
gene325,3.18,2.51,1.58,12.15,3.22,10.29
gene326,0.39,0.52,0.3,1.68,0.87,1.62
gene327,0.5,0.97,0.36,2.87,1.05,2.6
gene328,0.11,0.13,0.18,0.42,0.5,0.46
gene329,0.17,0.39,0.12,0.66,0.8,0.52
gene330,15.41,13.72,6.06,38.26,10.84,25.95
gene331,3.91,3.16,8.54,10.9,11.77,16.12
gene332,15.13,12.17,3.45,38.02,12.63,18.49
gene333,5.58,5.6,0.97,17.06,6.56,10.23
gene334,0.67,1.16,0.18,4.43,1.92,3.81
gene335,0.5,0.45,0.91,1.32,1.18,3.12
gene336,0.67,0.32,0.67,0.9,0.99,3.18
gene337,0,0,0.06,0.3,0.43,0.46
gene338,0.22,0.13,0.3,1.08,2.17,1.62
gene339,1.28,1.48,0.36,0.12,0.12,0.06
gene340,10.1,9.02,4.36,5.39,1.8,1.1
gene341,0.84,0.58,0.67,3.83,0.8,1.96
gene342,7.03,3.93,3.15,20.06,12.14,15.49
gene343,4.35,3.28,1.82,10.72,6.63,9.65
gene344,0.67,1.09,0.67,5.39,4.21,5.26
gene345,0.11,0,0.12,0.3,0.25,0.46
gene346,0.39,0.26,0.61,1.32,0.99,1.16
gene347,0.39,0.77,0.3,1.02,1.11,2.14
gene348,0.17,0.26,0.18,0.66,0.93,0.52
gene349,2.9,2.7,1.09,0.42,0.12,0.17
gene350,47.45,22.15,77.96,20.78,31.58,29.88
gene351,5.53,3.61,1.33,12.63,2.6,13.58
gene352,66.48,82.17,35.38,131.78,113.32,128.88
gene353,0.56,1.8,1.09,2.04,5.2,2.72
gene354,3.46,7.28,4,1.74,1.86,1.85
gene355,14.01,3.09,2.97,39.82,2.72,26.53
gene356,0.17,0.13,0.12,0.6,0.43,0.64
gene357,29.53,26.21,10.3,54.07,30.84,51.44
gene358,0.39,0.39,0.12,0.84,0.8,0.87
gene359,0.78,0.58,0.12,1.08,1.49,1.44
gene360,0.5,0.58,0.24,0.06,0,0.29
gene361,0.33,0.32,0.91,0.12,0.12,0.06
gene362,1.06,1.35,1.64,0.72,0.43,0.64
gene363,2.4,2.51,1.09,10.6,6.13,11.56
gene364,0.39,0.32,0.24,0,0.06,0
gene365,2.85,3.28,2.85,5.33,5.26,11.1
gene366,16.8,13.39,9.33,37.06,26.13,33.23
gene367,2.12,1.61,1.21,9.04,5.2,13.64
gene368,0.61,0.77,0.42,2.87,0.87,1.27
gene369,0.78,0.58,0.48,0.18,0.19,0
gene370,2.96,2.83,0.48,0.54,0.31,0.81
gene371,1.73,0.84,1.45,7.78,1.67,6.42
gene372,10.33,10.17,2.73,32.69,7.43,21.04
gene373,2.23,3.54,1.27,4.73,8.61,8.5
gene374,14.9,5.6,8.24,36.94,13.75,20.69
gene375,1,0.77,0.48,1.26,1.18,3.64
gene376,6.81,6.63,1.64,15.33,9.1,19.25
gene377,12.17,12.69,8.78,34.19,23.84,34.91
gene378,1.17,1.35,0.48,6.95,10.03,20
gene379,9.38,8.37,3.63,22.87,9.41,25.49
gene380,0.28,0.32,0.42,0.12,0,0
gene381,5.64,1.55,5.94,1.74,1.18,2.2
gene382,14.68,11.85,4.06,41.01,21.98,22.19
gene383,22.38,11.46,9.51,38.38,21.98,34.91
gene384,6.87,8.44,2.42,19.58,13.19,24.27
gene385,0.5,0.19,1.03,1.8,1.3,3.12
gene386,0.67,0.32,0.97,0.12,0.12,0.23
gene387,4.86,6.37,2.85,13.29,6.44,11.85
gene388,0.33,0.71,0.61,0.12,0.19,0.23
gene389,2.51,1.93,1.33,7.07,2.04,6.82
gene390,1.28,2.58,0.61,0.48,0.06,0.58
gene391,4.63,4.19,2.6,24.55,10.71,21.9
gene392,6.92,3.03,7.27,38.26,11.27,33
gene393,5.47,3.99,2.54,26.05,10.77,22.31
gene394,2.96,1.67,0.97,13.89,5.76,16.59
gene395,27.8,28.01,15.99,10.9,13.99,14.68
gene396,3.07,1.48,1.88,3.83,11.02,13.18
gene397,0.11,0.06,0,0.42,0.37,0.58
gene398,0.39,0.13,0.24,1.32,0.37,0.98
gene399,2.18,1.03,1.03,7.24,0.99,5.55
gene400,4.69,5.67,2.67,13.59,10.9,7.46
gene401,18.31,11.01,7.33,40.83,15.73,42.59
gene402,1,0.45,1.45,0.3,0.25,0.23
gene403,3.46,3.16,4.18,9.94,4.33,12.48
gene404,0.78,0.32,1.39,1.98,2.97,7.34
gene405,0.33,0.06,0.06,1.86,0.31,0.64
gene406,4.69,4.57,8.66,17.9,11.39,13.99
gene407,0.5,0.45,0.67,1.74,0.87,1.91
gene408,3.01,3.09,0.48,7.3,4.83,15.26
gene409,1.23,0.45,0.3,3.77,1.67,2.14
gene410,0.06,0.13,0.06,0.24,0.43,0.35
gene411,0.28,0.77,0.12,1.32,0.43,2.66
gene412,4.58,3.48,4.73,6.47,16.6,14.97
gene413,0.5,0.32,0.85,1.38,1.11,2.72
gene414,12.78,8.11,7.57,51.01,8.92,42.71
gene415,14.79,9.08,12.72,3.71,3.1,1.44
gene416,26.24,38.96,51.07,21.85,25.57,22.14
gene417,1.34,0.32,0.79,6.41,4.46,4.51
gene418,0.33,0.52,0.3,0.96,1.11,2.02
gene419,0.78,0.52,1.03,0.3,0.12,0.23
gene420,0,0.06,0.06,0.3,0.31,0.35
gene421,0.17,0,0,0.3,0.56,0.23
gene422,6.81,5.6,2.54,20.12,14.86,16.18
gene423,2.9,2.25,1.03,1.02,0.74,0.58
gene424,12.62,4.57,13.75,62.75,24.52,44.5
gene425,6.31,7.79,2.18,11.38,10.16,14.97
gene426,6.36,3.86,2.73,16.82,10.28,16.64
gene427,0.17,0.26,0.24,0.9,0.8,0.52
gene428,1.12,0.45,0.55,3.29,0.68,2.25
gene429,0.06,0.06,0.06,0.36,0.25,0.35
gene430,5.25,3.41,1.45,11.56,2.48,12.54
gene431,12,5.8,11.63,21.02,12.57,31.84
gene432,1.73,3.09,1.21,0.36,0.06,0.52
gene433,9.55,13.46,8.48,26.4,16.66,22.94
gene434,13.23,3.73,31.74,3.17,3.03,5.37
gene435,0.61,0.97,0.42,1.62,1.67,2.95
gene436,2.46,0.77,0.42,6.95,2.04,2.95
gene437,0.89,1.09,1.39,4.43,1.24,4.62
gene438,6.14,3.99,5.03,24.13,12.63,22.89
gene439,1.62,1.87,1.09,0.36,0.37,0.4
gene440,1.73,1.16,1.03,0.6,0.5,0.64
gene441,2.29,2.45,1.33,7.66,3.84,8.84
gene442,1.9,2.83,1.09,0.24,0.62,0.98
gene443,1.4,1.03,1.76,0.18,0.43,0.52
gene444,4.47,2.9,1.64,10.3,6.32,12.31
gene445,1.34,1.29,1.27,0.54,0.25,0.35
gene446,5.41,0.58,4.3,0.6,1.67,1.1
gene447,0.06,0.06,0.12,0.24,0.56,0.75
gene448,10.33,10.05,5.75,30,16.1,23.81
gene449,0.11,0.19,0.06,0.36,0.5,0.46
gene450,1.45,0.84,0.3,0.18,0,0
gene451,35.61,38.96,13.39,8.38,6.94,14.68
gene452,0.61,0.26,0.24,0.96,1.73,1.21
gene453,0.06,0.19,0,0.3,0.37,0.98
gene454,0.78,0.77,1.09,0.42,0.06,0.29
gene455,5.41,5.6,1.88,15.69,4.77,12.19
gene456,1.23,0.77,0.42,3.17,2.11,8.78
gene457,15.74,25.56,12.05,25.99,32.57,40.86
gene458,0.78,0.52,0.42,3.35,0.68,3.47
gene459,1.4,0.97,0.61,3.41,1.8,7.8
gene460,0.17,0,0.12,0.96,0.68,1.68
gene461,7.82,6.95,4.42,25.99,7.37,17.86
gene462,0.33,0.13,0.12,1.92,2.17,2.31
gene463,5.3,3.61,3.51,7.42,14.12,18.55
gene464,3.46,1.8,0.36,6.71,1.98,10.52
gene465,1.12,1.61,1.03,0.12,0.68,0.64
gene466,2.68,0.32,0.55,0.24,0,0.58
gene467,2.4,3.35,1.45,10.06,6.13,11.5
gene468,0.45,0.39,0.06,1.68,0.62,1.1
gene469,1,0.32,1.51,3.65,4.46,3.53
gene470,10.16,0.77,12.66,0.78,1.98,2.2
gene471,6.2,4.7,4.24,16.47,6.25,16.24
gene472,0.61,0.58,0.18,4.73,4.15,3.41
gene473,0.73,0.39,0.24,5.63,3.96,3.99
gene474,0.06,0.06,0.18,0.42,0.43,0.35
gene475,0.56,0.13,0.06,0.78,0.74,0.75
gene476,10.38,9.85,7.09,32.21,16.22,23.7
gene477,29.42,17.26,18.78,13.11,8.73,13.35
gene478,31.6,37.22,33.8,18.26,25.64,17.74
gene479,2.68,2.32,1.03,4.97,4.02,5.55
gene480,0.45,0.26,0,1.14,0.37,1.21
gene481,5.64,3.61,3.03,1.32,0.12,1.39
gene482,4.52,2.45,5.69,1.5,0.25,1.16
gene483,8.71,3.67,13.81,2.28,2.66,4.39
gene484,0.78,0.45,0.55,0.24,0.25,0.06
gene485,2.96,4.06,1.51,1.56,0.99,1.04
gene486,10.38,11.14,2.18,29.28,7.74,19.88
gene487,0,0,0.12,0.6,0.25,0.64
gene488,0.45,0.77,0.67,0.18,0.19,0.29
gene489,0.39,0.71,0.73,2.28,0.68,7.34
gene490,3.57,0.97,5.57,10,9.1,8.15
gene491,11.83,18.22,8.78,5.63,7,4.1
gene492,2.68,3.67,1.33,6.71,4.83,10.52
gene493,0.33,0.39,0.24,0,0.06,0.12
gene494,1.28,1.29,0.73,0.12,0.19,0.35
gene495,0.56,0.13,0.97,1.32,1.42,2.83
gene496,0.61,0.52,0.3,0,0.25,0.12
gene497,1.06,1.16,1.15,0.36,0.43,0.46
gene498,7.37,5.8,4,16.41,14.61,12.08
gene499,0.06,0.13,0.12,0.3,0.37,0.69
gene500,0.11,0.45,0.3,1.14,0.87,0.75
gene501,8.21,14.36,6.42,2.16,3.47,2.02
gene502,0.45,0,0.24,0.42,2.48,2.54
gene503,3.01,1.42,0.36,0.48,0.19,0.58
gene504,0.11,0,0.48,0.84,0.5,1.1
gene505,18.53,12.43,18.6,8.86,5.39,11.44
