gene,A1,A2,A3,B1,B2,B3
gene3895,4.24,6.05,4,1.98,2.23,2.08
gene3896,0.22,0.71,0.12,1.74,1.05,1.44
gene3897,3.68,5.28,1.51,0.78,1.73,1.44
gene3898,6.03,3.61,2.36,22.69,11.46,24.22
gene3899,0.84,0.9,0.79,3.29,2.91,1.04
gene3900,0.39,1.09,0.67,0.12,0,0.06
gene3901,0.17,0,0.55,1.14,0.87,1.21
gene3902,4.97,2.9,1.76,10.24,2.72,11.62
gene3903,0.56,0.13,0.36,0.72,1.55,2.89
gene3904,4.52,4.38,4.66,25.69,13.75,22.02
gene3905,14.29,20.93,18.23,4.31,13.07,10.11
gene3906,1.56,0.52,0.42,0.36,0.12,0.35
gene3907,11.39,9.66,6.72,29.52,15.79,24.33
gene3908,1.62,1.16,1.64,5.39,3.03,5.2
gene3909,60.01,56.6,49.25,30,29.17,36.35
